,Phrase,Sentiment
0,"['series', 'escapade', 'demonstrating', 'adage', 'good', 'goose', 'also', 'good', 'gander', 'occasionally', 'amuses', 'none', 'amount', 'much', 'story']",1
1,"['quiet', 'introspective', 'entertaining', 'independent', 'worth', 'seeking']",4
2,"['even', 'fan', 'ismail', 'merchant', 'work', 'suspect', 'would', 'hard', 'time', 'sitting', 'one']",1
3,"['positively', 'thrilling', 'combination', 'ethnography', 'intrigue', 'betrayal', 'deceit', 'murder', 'shakespearean', 'tragedy', 'juicy', 'soap', 'opera']",3
4,"['aggressive', 'self', 'glorification', 'manipulative', 'whitewash']",1
5,"['comedy', 'drama', 'nearly', 'epic', 'proportion', 'rooted', 'sincere', 'performance', 'title', 'character', 'undergoing', 'midlife', 'crisis']",4
6,"['narratively', 'trouble', 'every', 'day', 'plodding', 'mess']",1
7,"['importance', 'earnest', 'thick', 'wit', 'play', 'like', 'reading', 'bartlett', 'familiar', 'quotation']",3
8,"['leave', 'much']",1
9,"['could', 'hate', 'reason']",1
10,"['little', 'recommend', 'snow', 'dog', 'unless', 'one', 'considers', 'cliched', 'dialogue', 'perverse', 'escapism', 'source', 'high', 'hilarity']",1
11,"['kung', 'pow', 'oedekerk', 'realization', 'childhood', 'dream', 'martial', 'art', 'flick', 'prof', 'sometimes', 'dream', 'youth', 'remain']",1
12,"['performance', 'absolute', 'joy']",4
13,"['fresnadillo', 'something', 'serious', 'say', 'way', 'extravagant', 'chance', 'distort', 'perspective', 'throw', 'u', 'path', 'good', 'sense']",3
14,"['still', 'like', 'moonlight', 'mile', 'better', 'judgment', 'damned']",3
15,"['welcome', 'relief', 'baseball', 'movie', 'try', 'hard', 'mythic', 'one', 'sweet', 'modest', 'ultimately', 'winning', 'story']",3
16,"['bilingual', 'charmer', 'like', 'woman', 'inspired']",3
17,"['like', 'le', 'dizzily', 'gorgeous', 'companion', 'mr', 'wong', 'mood', 'love', 'much', 'hong', 'kong', 'movie', 'despite', 'mainland', 'setting']",2
18,"['inept', 'big', 'screen', 'remake', 'avenger', 'wild', 'wild', 'west']",1
19,"['everything', 'expect', 'nothing']",2
20,"['best', 'indie', 'year', 'far']",4
21,"['hatfield', 'hick', 'make', 'oddest', 'couple', 'sense', 'movie', 'becomes', 'study', 'gamble', 'publishing', 'world', 'offering', 'case', 'study', 'exists', 'apart', 'movie', 'political', 'ramification']",3
22,"['like', 'going', 'house', 'party', 'watching', 'host', 'defend', 'frothing', 'ex', 'girlfriend']",1
23,"['chuck', 'norris', 'grenade', 'gag', 'occurs', 'time', 'windtalker', 'good', 'indication', 'serious', 'minded', 'film']",2
24,"['plot', 'romantic', 'comedy', 'boilerplate', 'start', 'finish']",2
25,"['arrives', 'impeccable', 'pedigree', 'mongrel', 'pep', 'almost', 'indecipherable', 'plot', 'complication']",2
26,"['film', 'clearly', 'mean', 'preach', 'exclusively', 'converted']",2
27,"['importance', 'earnest', 'offer', 'opportunity', 'occasional', 'smile', 'chuckle', 'give', 'u', 'reason', 'theater', 'beyond', 'wilde', 'wit', 'actor', 'performance']",1
28,"['latest', 'vapid', 'actor', 'exercise', 'appropriate', 'structure', 'arthur', 'schnitzler', 'reigen']",1
29,"['vaudeville', 'show', 'well', 'constructed', 'narrative', 'term', 'inoffensive', 'actually', 'rather', 'sweet']",2
30,"['nothing', 'run', 'mill', 'action', 'flick']",2
31,"['hampered', 'paralyzed', 'self', 'indulgent', 'script', 'aim', 'poetry', 'end', 'sounding', 'like', 'satire']",0
32,"['ice', 'age', 'first', 'computer', 'generated', 'feature', 'cartoon', 'feel', 'like', 'movie', 'make', 'glacial', 'pacing', 'early']",2
33,"['little', 'sense', 'going', 'maker', 'serve', 'cliche', 'considerable', 'dash']",2
34,"['cattaneo', 'followed', 'runaway', 'success', 'first', 'film', 'full', 'monty', 'something', 'different']",2
35,"['unnamed', 'easily', 'substitutable', 'force', 'serve', 'whatever', 'terror', 'hero', 'horror', 'movie', 'try', 'avoid']",1
36,"['almost', 'feel', 'movie', 'interested', 'entertaining', 'amusing', 'u']",1
37,"['movie', 'progression', 'rambling', 'incoherence', 'give', 'new', 'meaning', 'phrase', 'fatal', 'script', 'error']",0
38,"['judge', 'one', 'soon', 'dark', 'gritty', 'story', 'take', 'totally', 'unexpected', 'direction', 'keep', 'going']",3
39,"['could', 'young', 'romantic', 'date']",3
40,"['tartakovsky', 'team', 'freakish', 'power', 'visual', 'charm', 'five', 'writer', 'slip', 'modern', 'rut', 'narrative', 'banality']",0
41,"['vincent', 'gallo', 'right', 'home', 'french', 'shocker', 'playing', 'usual', 'bad', 'boy', 'weirdo', 'role']",3
